电影名,导演,主演,年份,电影类型,评分,评语,电影海报
饮食男女,李安 Ang Lee   ,郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...,1994,剧情 家庭,9.1,人生不能像做菜，把所有的料都准备好了才下锅。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.webp
美丽心灵,朗·霍华德 Ron Howard   ,罗素·克劳 Russell Crowe / 艾德·哈...,2001,传记 剧情,9.0,爱是一切逻辑和原由。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.webp
窃听风暴,弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...,,2006,剧情 悬疑,9.2,别样人生。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.webp
本杰明·巴顿奇事,大卫·芬奇 David Fincher   ,凯特·布兰切特 Cate Blanchett / ...,2008,剧情 爱情 奇幻,8.9,在时间之河里感受溺水之苦。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.webp
两杆大烟枪,Guy Ritchie   ,Jason Flemyng / Dexter Fletcher / Nick Moran,1998,剧情 喜剧 犯罪,9.1,4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp
情书,岩井俊二 Shunji Iwai   ,中山美穗 Miho Nakayama / 丰川悦司 Ets...,1995,剧情 爱情,8.9,暗恋的极致。,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.webp
穿条纹睡衣的男孩,马克·赫尔曼 Mark Herman   ,阿萨·巴特菲尔德 Asa Butterfield ...,2008,剧情 战争,9.1,尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.webp
西西里的美丽传说,朱塞佩·托纳多雷 Giuseppe Tornatore   ,莫妮卡·贝鲁奇 Monica ...,2000,剧情 战争 情色,8.9,美丽无罪。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.webp
看不见的客人,奥里奥尔·保罗 Oriol Paulo   ,马里奥·卡萨斯 Mario Casas / 阿...,2016,剧情 犯罪 悬疑 惊悚,8.8,你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.webp
飞越疯人院,米洛斯·福尔曼 Miloš Forman   ,杰克·尼科尔森 Jack Nichols...,1975,剧情,9.1,自由万岁。,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792238287.webp
